DEPARTAMENTO,PROVINCIA,Diagnóstico,Producto,Cat_terapeutica,IPRESS,Prom_atendidos
AMAZONAS,BAGUA,Artritis reumatoide juvenil,ACTEMRA,Inmunomodulador,GUSTAVO LANATTA LUJAN,1.0
AMAZONAS,BAGUA,Artritis reumatoide juvenil,ACTEMRA,Inmunomodulador,HOSPITAL I HEROES DEL CENEPA,1.0
AMAZONAS,BAGUA,"Artritis reumatoide, no especificada",ACTEMRA,Inmunomodulador,GUSTAVO LANATTA LUJAN,1.9
AMAZONAS,BAGUA,"Artritis reumatoide, no especificada",ACTEMRA,Inmunomodulador,HOSPITAL I HEROES DEL CENEPA,1.1
AMAZONAS,BAGUA,"Artritis reumatoide, no especificada",ACTEMRA,Inmunomodulador,SANIDAD PNP BAGUA,1.0
AMAZONAS,BAGUA,"Artritis reumatoide, no especificada",Mab Thera,Antineoplásico,GUSTAVO LANATTA LUJAN,1.9
AMAZONAS,BAGUA,"Artritis reumatoide, no especificada",Mab Thera,Antineoplásico,HOSPITAL I HEROES DEL CENEPA,1.1
AMAZONAS,BAGUA,"Artritis reumatoide, no especificada",Mab Thera,Antineoplásico,SANIDAD PNP BAGUA,1.0
AMAZONAS,BAGUA,"Artritis reumatoide, no especificada",RITUXAN,Antineoplásico,GUSTAVO LANATTA LUJAN,1.9
AMAZONAS,BAGUA,"Artritis reumatoide, no especificada",RITUXAN,Antineoplásico,HOSPITAL I HEROES DEL CENEPA,1.1
AMAZONAS,BAGUA,"Artritis reumatoide, no especificada",RITUXAN,Antineoplásico,SANIDAD PNP BAGUA,1.0
AMAZONAS,BAGUA,"Asma, no especificada",XOLAIR,Inmunomodulador,GUSTAVO LANATTA LUJAN,2.0
AMAZONAS,BAGUA,"Asma, no especificada",XOLAIR,Inmunomodulador,HOSPITAL I HEROES DEL CENEPA,1.3
AMAZONAS,BAGUA,"Asma, no especificada",XOLAIR,Inmunomodulador,SANIDAD PNP BAGUA,1.0
AMAZONAS,BAGUA,Degeneración de la mácula y del polo posterior del ojo (DMAE),VABYSMO,Oftalmológico,HOSPITAL I HEROES DEL CENEPA,1.0
AMAZONAS,BAGUA,Enfermedad de Parkinson,MADOPAR,Sistema Nervioso,GUSTAVO LANATTA LUJAN,4.2
AMAZONAS,BAGUA,Enfermedad de Parkinson,MADOPAR,Sistema Nervioso,HOSPITAL I HEROES DEL CENEPA,1.4
AMAZONAS,BAGUA,"Enfermedad por virus citomegálico, no especificada",CYMEVENE,Antiinfeccioso,GUSTAVO LANATTA LUJAN,1.0
AMAZONAS,BAGUA,Esclerosis múltiple,Mab Thera,Antineoplásico,GUSTAVO LANATTA LUJAN,1.0
AMAZONAS,BAGUA,Esclerosis múltiple,OCREVUS,Inmunomodulador,GUSTAVO LANATTA LUJAN,1.0
AMAZONAS,BAGUA,Esclerosis múltiple,RITUXAN,Antineoplásico,GUSTAVO LANATTA LUJAN,1.0
AMAZONAS,BAGUA,"Influenza con otras manifestaciones respiratorias, virus no identificado",TAMIFLU,Antiinfeccioso,SANIDAD PNP BAGUA,1.0
AMAZONAS,BAGUA,"Linfoma no Hodgkin, no especificado",Mab Thera,Antineoplásico,GUSTAVO LANATTA LUJAN,1.0
AMAZONAS,BAGUA,"Linfoma no Hodgkin, no especificado",RITUXAN,Antineoplásico,GUSTAVO LANATTA LUJAN,1.0
AMAZONAS,BAGUA,"Melanoma maligno de piel, sitio no especificado",TECENTRIQ,Antineoplásico,GUSTAVO LANATTA LUJAN,1.0
AMAZONAS,BAGUA,"Melanoma maligno de piel, sitio no especificado",TECENTRIQ,Antineoplásico,HOSPITAL I HEROES DEL CENEPA,1.0
AMAZONAS,BAGUA,Neoplasia maligna de la mama (Triple negativo),TECENTRIQ,Antineoplásico,GUSTAVO LANATTA LUJAN,1.5
AMAZONAS,BAGUA,Neoplasia maligna de la mama (Triple negativo),TECENTRIQ,Antineoplásico,HOSPITAL I HEROES DEL CENEPA,1.0
AMAZONAS,BAGUA,"Neoplasia maligna de la mama, parte no especificada",HERCEPTIN,Antineoplásico,GUSTAVO LANATTA LUJAN,1.5
AMAZONAS,BAGUA,"Neoplasia maligna de la mama, parte no especificada",HERCEPTIN,Antineoplásico,HOSPITAL I HEROES DEL CENEPA,1.0
AMAZONAS,BAGUA,"Neoplasia maligna de la mama, parte no especificada",KADCYLA,Antineoplásico,GUSTAVO LANATTA LUJAN,1.5
AMAZONAS,BAGUA,"Neoplasia maligna de la mama, parte no especificada",KADCYLA,Antineoplásico,HOSPITAL I HEROES DEL CENEPA,1.0
AMAZONAS,BAGUA,"Neoplasia maligna de la mama, parte no especificada",PERJETA,Antineoplásico,GUSTAVO LANATTA LUJAN,1.5
AMAZONAS,BAGUA,"Neoplasia maligna de la mama, parte no especificada",PERJETA,Antineoplásico,HOSPITAL I HEROES DEL CENEPA,1.0
AMAZONAS,BAGUA,Neoplasia maligna de los bronquios o del pulmón,TECENTRIQ,Antineoplásico,GUSTAVO LANATTA LUJAN,1.0
AMAZONAS,BAGUA,"Neoplasia maligna de los bronquios o del pulmón, parte no especificada",ALECENSA,Inmunomodulador,GUSTAVO LANATTA LUJAN,1.0
AMAZONAS,BAGUA,"Neoplasia maligna de los bronquios o del pulmón, parte no especificada",AVASTIN,Antineoplásico,GUSTAVO LANATTA LUJAN,1.0
AMAZONAS,BAGUA,"Neoplasia maligna del cuello del útero, sin otra especificación",AVASTIN,Antineoplásico,GUSTAVO LANATTA LUJAN,1.8
AMAZONAS,BAGUA,"Neoplasia maligna del cuello del útero, sin otra especificación",AVASTIN,Antineoplásico,HOSPITAL I HEROES DEL CENEPA,1.0
AMAZONAS,BAGUA,"Neoplasia maligna del estómago, parte no especificada",HERCEPTIN,Antineoplásico,GUSTAVO LANATTA LUJAN,1.0
AMAZONAS,BAGUA,"Neoplasia maligna del estómago, parte no especificada",HERCEPTIN,Antineoplásico,HOSPITAL I HEROES DEL CENEPA,1.2
AMAZONAS,BAGUA,Neoplasia maligna del ovario,AVASTIN,Antineoplásico,GUSTAVO LANATTA LUJAN,1.0
AMAZONAS,BAGUA,"Neoplasia maligna del riñón, excepto de la pelvis renal",AVASTIN,Antineoplásico,GUSTAVO LANATTA LUJAN,1.0
AMAZONAS,BAGUA,Retinopatía diabética (EMD),VABYSMO,Oftalmológico,GUSTAVO LANATTA LUJAN,1.0
AMAZONAS,BAGUA,Retinopatía diabética (EMD),VABYSMO,Oftalmológico,HOSPITAL I HEROES DEL CENEPA,1.0
AMAZONAS,BAGUA,Trasplante de hígado (Estado de),CELLCEPT,Inmunomodulador,HOSPITAL I HEROES DEL CENEPA,1.0
AMAZONAS,BAGUA,Urticaria idiopática (crónica),XOLAIR,Inmunomodulador,GUSTAVO LANATTA LUJAN,1.0
AMAZONAS,BONGARA,"Artritis reumatoide, no especificada",ACTEMRA,Inmunomodulador,PEDRO RUIZ GALLO,1.0
AMAZONAS,BONGARA,"Artritis reumatoide, no especificada",Mab Thera,Antineoplásico,PEDRO RUIZ GALLO,1.0
AMAZONAS,BONGARA,"Artritis reumatoide, no especificada",RITUXAN,Antineoplásico,PEDRO RUIZ GALLO,1.0
AMAZONAS,BONGARA,"Asma, no especificada",XOLAIR,Inmunomodulador,PEDRO RUIZ GALLO,1.1
AMAZONAS,BONGARA,"Neoplasia maligna del colon, parte no especificada",AVASTIN,Antineoplásico,PEDRO RUIZ GALLO,1.0
AMAZONAS,BONGARA,"Neoplasia maligna del cuello del útero, sin otra especificación",AVASTIN,Antineoplásico,PEDRO RUIZ GALLO,1.0
AMAZONAS,BONGARA,"Neoplasia maligna del estómago, parte no especificada",HERCEPTIN,Antineoplásico,PEDRO RUIZ GALLO,1.0
AMAZONAS,BONGARA,Urticaria idiopática (crónica),XOLAIR,Inmunomodulador,PEDRO RUIZ GALLO,1.0
AMAZONAS,CHACHAPOYAS,"Artritis reumatoide, no especificada",ACTEMRA,Inmunomodulador,HOSPITAL HIGOS URCO,1.4
AMAZONAS,CHACHAPOYAS,"Artritis reumatoide, no especificada",ACTEMRA,Inmunomodulador,HOSPITAL REGIONAL VIRGEN DE FATIMA,1.5
AMAZONAS,CHACHAPOYAS,"Artritis reumatoide, no especificada",Mab Thera,Antineoplásico,HOSPITAL HIGOS URCO,1.4
AMAZONAS,CHACHAPOYAS,"Artritis reumatoide, no especificada",Mab Thera,Antineoplásico,HOSPITAL REGIONAL VIRGEN DE FATIMA,1.5
AMAZONAS,CHACHAPOYAS,"Artritis reumatoide, no especificada",RITUXAN,Antineoplásico,HOSPITAL HIGOS URCO,1.4
AMAZONAS,CHACHAPOYAS,"Artritis reumatoide, no especificada",RITUXAN,Antineoplásico,HOSPITAL REGIONAL VIRGEN DE FATIMA,1.5
AMAZONAS,CHACHAPOYAS,"Asma, no especificada",XOLAIR,Inmunomodulador,HOSPITAL HIGOS URCO,1.4
AMAZONAS,CHACHAPOYAS,"Asma, no especificada",XOLAIR,Inmunomodulador,HOSPITAL REGIONAL VIRGEN DE FATIMA,2.3
AMAZONAS,CHACHAPOYAS,Carcinoma de células hepáticas,TECENTRIQ,Antineoplásico,HOSPITAL REGIONAL VIRGEN DE FATIMA,1.0
AMAZONAS,CHACHAPOYAS,Degeneración de la mácula y del polo posterior del ojo (DMAE),VABYSMO,Oftalmológico,HOSPITAL REGIONAL VIRGEN DE FATIMA,1.3
AMAZONAS,CHACHAPOYAS,Enfermedad de Parkinson,MADOPAR,Sistema Nervioso,HOSPITAL HIGOS URCO,3.7
AMAZONAS,CHACHAPOYAS,Enfermedad de Parkinson,MADOPAR,Sistema Nervioso,HOSPITAL REGIONAL VIRGEN DE FATIMA,4.7
AMAZONAS,CHACHAPOYAS,Enfermedad de Parkinson,MADOPAR,Sistema Nervioso,POLICLINICO POLICIAL CHACHAPOYAS,1.0
AMAZONAS,CHACHAPOYAS,Esclerosis múltiple,Mab Thera,Antineoplásico,HOSPITAL REGIONAL VIRGEN DE FATIMA,1.7
AMAZONAS,CHACHAPOYAS,Esclerosis múltiple,OCREVUS,Inmunomodulador,HOSPITAL REGIONAL VIRGEN DE FATIMA,1.7
AMAZONAS,CHACHAPOYAS,Esclerosis múltiple,RITUXAN,Antineoplásico,HOSPITAL REGIONAL VIRGEN DE FATIMA,1.7
AMAZONAS,CHACHAPOYAS,Linfoma no Hodgkin difuso de células B grandes,COLUMVI,Antineoplásico,HOSPITAL HIGOS URCO,1.0
AMAZONAS,CHACHAPOYAS,"Linfoma no Hodgkin folicular, sin otra especificación",GAZYVA,Antineoplásico,HOSPITAL HIGOS URCO,1.0
AMAZONAS,CHACHAPOYAS,"Linfoma no Hodgkin, no especificado",Mab Thera,Antineoplásico,HOSPITAL HIGOS URCO,1.0
AMAZONAS,CHACHAPOYAS,"Linfoma no Hodgkin, no especificado",Mab Thera,Antineoplásico,HOSPITAL REGIONAL VIRGEN DE FATIMA,1.3
AMAZONAS,CHACHAPOYAS,"Linfoma no Hodgkin, no especificado",RITUXAN,Antineoplásico,HOSPITAL HIGOS URCO,1.0
AMAZONAS,CHACHAPOYAS,"Linfoma no Hodgkin, no especificado",RITUXAN,Antineoplásico,HOSPITAL REGIONAL VIRGEN DE FATIMA,1.3
AMAZONAS,CHACHAPOYAS,"Melanoma maligno de piel, sitio no especificado",TECENTRIQ,Antineoplásico,HOSPITAL HIGOS URCO,1.0
AMAZONAS,CHACHAPOYAS,"Melanoma maligno de piel, sitio no especificado",TECENTRIQ,Antineoplásico,HOSPITAL REGIONAL VIRGEN DE FATIMA,1.0
AMAZONAS,CHACHAPOYAS,Neoplasia maligna de la mama (Triple negativo),TECENTRIQ,Antineoplásico,HOSPITAL HIGOS URCO,1.5
AMAZONAS,CHACHAPOYAS,Neoplasia maligna de la mama (Triple negativo),TECENTRIQ,Antineoplásico,HOSPITAL REGIONAL VIRGEN DE FATIMA,1.1
AMAZONAS,CHACHAPOYAS,"Neoplasia maligna de la mama, parte no especificada",HERCEPTIN,Antineoplásico,HOSPITAL HIGOS URCO,1.5
AMAZONAS,CHACHAPOYAS,"Neoplasia maligna de la mama, parte no especificada",HERCEPTIN,Antineoplásico,HOSPITAL REGIONAL VIRGEN DE FATIMA,1.1
AMAZONAS,CHACHAPOYAS,"Neoplasia maligna de la mama, parte no especificada",KADCYLA,Antineoplásico,HOSPITAL HIGOS URCO,1.5
AMAZONAS,CHACHAPOYAS,"Neoplasia maligna de la mama, parte no especificada",KADCYLA,Antineoplásico,HOSPITAL REGIONAL VIRGEN DE FATIMA,1.1
AMAZONAS,CHACHAPOYAS,"Neoplasia maligna de la mama, parte no especificada",PERJETA,Antineoplásico,HOSPITAL HIGOS URCO,1.5
AMAZONAS,CHACHAPOYAS,"Neoplasia maligna de la mama, parte no especificada",PERJETA,Antineoplásico,HOSPITAL REGIONAL VIRGEN DE FATIMA,1.1
AMAZONAS,CHACHAPOYAS,Neoplasia maligna de los bronquios o del pulmón,TECENTRIQ,Antineoplásico,HOSPITAL HIGOS URCO,1.5
AMAZONAS,CHACHAPOYAS,Neoplasia maligna de los bronquios o del pulmón,TECENTRIQ,Antineoplásico,HOSPITAL REGIONAL VIRGEN DE FATIMA,1.0
AMAZONAS,CHACHAPOYAS,"Neoplasia maligna de los bronquios o del pulmón, parte no especificada",ALECENSA,Inmunomodulador,HOSPITAL HIGOS URCO,1.5
AMAZONAS,CHACHAPOYAS,"Neoplasia maligna de los bronquios o del pulmón, parte no especificada",ALECENSA,Inmunomodulador,HOSPITAL REGIONAL VIRGEN DE FATIMA,1.0
AMAZONAS,CHACHAPOYAS,"Neoplasia maligna de los bronquios o del pulmón, parte no especificada",AVASTIN,Antineoplásico,HOSPITAL HIGOS URCO,1.5
AMAZONAS,CHACHAPOYAS,"Neoplasia maligna de los bronquios o del pulmón, parte no especificada",AVASTIN,Antineoplásico,HOSPITAL REGIONAL VIRGEN DE FATIMA,1.0
AMAZONAS,CHACHAPOYAS,"Neoplasia maligna del colon, parte no especificada",AVASTIN,Antineoplásico,HOSPITAL HIGOS URCO,1.0
AMAZONAS,CHACHAPOYAS,"Neoplasia maligna del colon, parte no especificada",AVASTIN,Antineoplásico,HOSPITAL REGIONAL VIRGEN DE FATIMA,1.3
AMAZONAS,CHACHAPOYAS,"Neoplasia maligna del cuello del útero, sin otra especificación",AVASTIN,Antineoplásico,HOSPITAL HIGOS URCO,1.1
AMAZONAS,CHACHAPOYAS,"Neoplasia maligna del cuello del útero, sin otra especificación",AVASTIN,Antineoplásico,HOSPITAL REGIONAL VIRGEN DE FATIMA,1.3
AMAZONAS,CHACHAPOYAS,"Neoplasia maligna del estómago, parte no especificada",HERCEPTIN,Antineoplásico,HOSPITAL HIGOS URCO,1.0
AMAZONAS,CHACHAPOYAS,"Neoplasia maligna del estómago, parte no especificada",HERCEPTIN,Antineoplásico,HOSPITAL REGIONAL VIRGEN DE FATIMA,1.0
AMAZONAS,CHACHAPOYAS,Neoplasia maligna del ovario,AVASTIN,Antineoplásico,HOSPITAL REGIONAL VIRGEN DE FATIMA,1.0
AMAZONAS,CHACHAPOYAS,"Neoplasia maligna del riñón, excepto de la pelvis renal",AVASTIN,Antineoplásico,HOSPITAL REGIONAL VIRGEN DE FATIMA,1.0
AMAZONAS,CHACHAPOYAS,Otras oclusiones vasculares de la retina,VABYSMO,Oftalmológico,HOSPITAL REGIONAL VIRGEN DE FATIMA,1.0
AMAZONAS,CHACHAPOYAS,"Pólipo nasal, no especificado",XOLAIR,Inmunomodulador,HOSPITAL HIGOS URCO,2.0
AMAZONAS,CHACHAPOYAS,"Pólipo nasal, no especificado",XOLAIR,Inmunomodulador,HOSPITAL REGIONAL VIRGEN DE FATIMA,1.0
AMAZONAS,CHACHAPOYAS,Retinopatía diabética (EMD),VABYSMO,Oftalmológico,HOSPITAL HIGOS URCO,1.3
AMAZONAS,CHACHAPOYAS,Retinopatía diabética (EMD),VABYSMO,Oftalmológico,HOSPITAL REGIONAL VIRGEN DE FATIMA,1.0
AMAZONAS,CHACHAPOYAS,Retinopatía diabética (EMD),VABYSMO,Oftalmológico,POLICLINICO POLICIAL CHACHAPOYAS,1.0
AMAZONAS,CHACHAPOYAS,Trasplante de riñón (Estado de),CELLCEPT,Inmunomodulador,HOSPITAL HIGOS URCO,1.0
AMAZONAS,CHACHAPOYAS,Urticaria idiopática (crónica),XOLAIR,Inmunomodulador,HOSPITAL HIGOS URCO,1.0
AMAZONAS,CHACHAPOYAS,Urticaria idiopática (crónica),XOLAIR,Inmunomodulador,HOSPITAL REGIONAL VIRGEN DE FATIMA,1.5
AMAZONAS,CONDORCANQUI,"Asma, no especificada",XOLAIR,Inmunomodulador,SANTA MARIA DE NIEVA,1.8
AMAZONAS,CONDORCANQUI,"Neoplasia maligna del cuello del útero, sin otra especificación",AVASTIN,Antineoplásico,SANTA MARIA DE NIEVA,1.0
AMAZONAS,CONDORCANQUI,Neoplasia maligna del ovario,AVASTIN,Antineoplásico,SANTA MARIA DE NIEVA,1.0
AMAZONAS,CONDORCANQUI,"Pólipo nasal, no especificado",XOLAIR,Inmunomodulador,SANTA MARIA DE NIEVA,1.0
AMAZONAS,RODRIGUEZ DE MENDOZA,"Artritis reumatoide, no especificada",ACTEMRA,Inmunomodulador,MARIA AUXILIADORA,1.3
AMAZONAS,RODRIGUEZ DE MENDOZA,"Artritis reumatoide, no especificada",Mab Thera,Antineoplásico,MARIA AUXILIADORA,1.3
AMAZONAS,RODRIGUEZ DE MENDOZA,"Artritis reumatoide, no especificada",RITUXAN,Antineoplásico,MARIA AUXILIADORA,1.3
AMAZONAS,RODRIGUEZ DE MENDOZA,"Asma, no especificada",XOLAIR,Inmunomodulador,MARIA AUXILIADORA,1.3
AMAZONAS,RODRIGUEZ DE MENDOZA,Enfermedad de Parkinson,MADOPAR,Sistema Nervioso,MARIA AUXILIADORA,1.0
AMAZONAS,RODRIGUEZ DE MENDOZA,Retinopatía diabética (EMD),VABYSMO,Oftalmológico,MARIA AUXILIADORA,1.0
AMAZONAS,UTCUBAMBA,"Artritis reumatoide, no especificada",ACTEMRA,Inmunomodulador,HOSPITAL EL BUEN SAMARITANO,1.0
AMAZONAS,UTCUBAMBA,"Artritis reumatoide, no especificada",ACTEMRA,Inmunomodulador,POLICLINICO POLICIAL BAGUA GRANDE,1.5
AMAZONAS,UTCUBAMBA,"Artritis reumatoide, no especificada",ACTEMRA,Inmunomodulador,SANTIAGO APOSTOL DE UTCUBAMBA,1.7
AMAZONAS,UTCUBAMBA,"Artritis reumatoide, no especificada",Mab Thera,Antineoplásico,HOSPITAL EL BUEN SAMARITANO,1.0
AMAZONAS,UTCUBAMBA,"Artritis reumatoide, no especificada",Mab Thera,Antineoplásico,POLICLINICO POLICIAL BAGUA GRANDE,1.5
AMAZONAS,UTCUBAMBA,"Artritis reumatoide, no especificada",Mab Thera,Antineoplásico,SANTIAGO APOSTOL DE UTCUBAMBA,1.7
AMAZONAS,UTCUBAMBA,"Artritis reumatoide, no especificada",RITUXAN,Antineoplásico,HOSPITAL EL BUEN SAMARITANO,1.0
AMAZONAS,UTCUBAMBA,"Artritis reumatoide, no especificada",RITUXAN,Antineoplásico,POLICLINICO POLICIAL BAGUA GRANDE,1.5
AMAZONAS,UTCUBAMBA,"Artritis reumatoide, no especificada",RITUXAN,Antineoplásico,SANTIAGO APOSTOL DE UTCUBAMBA,1.7
AMAZONAS,UTCUBAMBA,"Asma, no especificada",XOLAIR,Inmunomodulador,HOSPITAL EL BUEN SAMARITANO,1.3
AMAZONAS,UTCUBAMBA,"Asma, no especificada",XOLAIR,Inmunomodulador,POLICLINICO POLICIAL BAGUA GRANDE,1.0
AMAZONAS,UTCUBAMBA,"Asma, no especificada",XOLAIR,Inmunomodulador,SANTIAGO APOSTOL DE UTCUBAMBA,3.0
AMAZONAS,UTCUBAMBA,Carcinoma de células hepáticas,TECENTRIQ,Antineoplásico,SANTIAGO APOSTOL DE UTCUBAMBA,1.0
AMAZONAS,UTCUBAMBA,Degeneración de la mácula y del polo posterior del ojo (DMAE),VABYSMO,Oftalmológico,HOSPITAL EL BUEN SAMARITANO,1.0
AMAZONAS,UTCUBAMBA,Enfermedad de Parkinson,MADOPAR,Sistema Nervioso,HOSPITAL EL BUEN SAMARITANO,1.8
AMAZONAS,UTCUBAMBA,Enfermedad de Parkinson,MADOPAR,Sistema Nervioso,POLICLINICO POLICIAL BAGUA GRANDE,1.0
AMAZONAS,UTCUBAMBA,Enfermedad de Parkinson,MADOPAR,Sistema Nervioso,SANTIAGO APOSTOL DE UTCUBAMBA,1.5
AMAZONAS,UTCUBAMBA,"Influenza con otras manifestaciones respiratorias, virus no identificado",TAMIFLU,Antiinfeccioso,HOSPITAL EL BUEN SAMARITANO,1.0
AMAZONAS,UTCUBAMBA,"Linfoma no Hodgkin folicular, sin otra especificación",GAZYVA,Antineoplásico,HOSPITAL EL BUEN SAMARITANO,1.0
AMAZONAS,UTCUBAMBA,"Melanoma maligno de piel, sitio no especificado",TECENTRIQ,Antineoplásico,HOSPITAL EL BUEN SAMARITANO,1.0
AMAZONAS,UTCUBAMBA,Neoplasia maligna de la mama (Triple negativo),TECENTRIQ,Antineoplásico,HOSPITAL EL BUEN SAMARITANO,1.1
AMAZONAS,UTCUBAMBA,Neoplasia maligna de la mama (Triple negativo),TECENTRIQ,Antineoplásico,POLICLINICO POLICIAL BAGUA GRANDE,1.0
AMAZONAS,UTCUBAMBA,Neoplasia maligna de la mama (Triple negativo),TECENTRIQ,Antineoplásico,SANTIAGO APOSTOL DE UTCUBAMBA,2.0
AMAZONAS,UTCUBAMBA,"Neoplasia maligna de la mama, parte no especificada",HERCEPTIN,Antineoplásico,HOSPITAL EL BUEN SAMARITANO,1.1
AMAZONAS,UTCUBAMBA,"Neoplasia maligna de la mama, parte no especificada",HERCEPTIN,Antineoplásico,POLICLINICO POLICIAL BAGUA GRANDE,1.0
AMAZONAS,UTCUBAMBA,"Neoplasia maligna de la mama, parte no especificada",HERCEPTIN,Antineoplásico,SANTIAGO APOSTOL DE UTCUBAMBA,2.0
AMAZONAS,UTCUBAMBA,"Neoplasia maligna de la mama, parte no especificada",KADCYLA,Antineoplásico,HOSPITAL EL BUEN SAMARITANO,1.1
AMAZONAS,UTCUBAMBA,"Neoplasia maligna de la mama, parte no especificada",KADCYLA,Antineoplásico,POLICLINICO POLICIAL BAGUA GRANDE,1.0
AMAZONAS,UTCUBAMBA,"Neoplasia maligna de la mama, parte no especificada",KADCYLA,Antineoplásico,SANTIAGO APOSTOL DE UTCUBAMBA,2.0
AMAZONAS,UTCUBAMBA,"Neoplasia maligna de la mama, parte no especificada",PERJETA,Antineoplásico,HOSPITAL EL BUEN SAMARITANO,1.1
AMAZONAS,UTCUBAMBA,"Neoplasia maligna de la mama, parte no especificada",PERJETA,Antineoplásico,POLICLINICO POLICIAL BAGUA GRANDE,1.0
AMAZONAS,UTCUBAMBA,"Neoplasia maligna de la mama, parte no especificada",PERJETA,Antineoplásico,SANTIAGO APOSTOL DE UTCUBAMBA,2.0
AMAZONAS,UTCUBAMBA,Neoplasia maligna de los bronquios o del pulmón,TECENTRIQ,Antineoplásico,HOSPITAL EL BUEN SAMARITANO,1.0
AMAZONAS,UTCUBAMBA,Neoplasia maligna de los bronquios o del pulmón,TECENTRIQ,Antineoplásico,SANTIAGO APOSTOL DE UTCUBAMBA,1.0
AMAZONAS,UTCUBAMBA,"Neoplasia maligna de los bronquios o del pulmón, parte no especificada",ALECENSA,Inmunomodulador,HOSPITAL EL BUEN SAMARITANO,1.0
AMAZONAS,UTCUBAMBA,"Neoplasia maligna de los bronquios o del pulmón, parte no especificada",ALECENSA,Inmunomodulador,SANTIAGO APOSTOL DE UTCUBAMBA,1.0
AMAZONAS,UTCUBAMBA,"Neoplasia maligna de los bronquios o del pulmón, parte no especificada",AVASTIN,Antineoplásico,HOSPITAL EL BUEN SAMARITANO,1.0
AMAZONAS,UTCUBAMBA,"Neoplasia maligna de los bronquios o del pulmón, parte no especificada",AVASTIN,Antineoplásico,SANTIAGO APOSTOL DE UTCUBAMBA,1.0
AMAZONAS,UTCUBAMBA,"Neoplasia maligna del colon, parte no especificada",AVASTIN,Antineoplásico,HOSPITAL EL BUEN SAMARITANO,1.0
AMAZONAS,UTCUBAMBA,"Neoplasia maligna del colon, parte no especificada",AVASTIN,Antineoplásico,SANTIAGO APOSTOL DE UTCUBAMBA,1.0
AMAZONAS,UTCUBAMBA,"Neoplasia maligna del cuello del útero, sin otra especificación",AVASTIN,Antineoplásico,HOSPITAL EL BUEN SAMARITANO,1.2
AMAZONAS,UTCUBAMBA,"Neoplasia maligna del cuello del útero, sin otra especificación",AVASTIN,Antineoplásico,POLICLINICO POLICIAL BAGUA GRANDE,1.0
AMAZONAS,UTCUBAMBA,"Neoplasia maligna del cuello del útero, sin otra especificación",AVASTIN,Antineoplásico,SANTIAGO APOSTOL DE UTCUBAMBA,1.3
AMAZONAS,UTCUBAMBA,"Neoplasia maligna del encéfalo, parte no especificada (Glioblastoma)",AVASTIN,Antineoplásico,HOSPITAL EL BUEN SAMARITANO,1.0
AMAZONAS,UTCUBAMBA,"Neoplasia maligna del estómago, parte no especificada",HERCEPTIN,Antineoplásico,HOSPITAL EL BUEN SAMARITANO,1.0
AMAZONAS,UTCUBAMBA,"Neoplasia maligna del estómago, parte no especificada",HERCEPTIN,Antineoplásico,POLICLINICO POLICIAL BAGUA GRANDE,1.0
AMAZONAS,UTCUBAMBA,"Neoplasia maligna del estómago, parte no especificada",HERCEPTIN,Antineoplásico,SANTIAGO APOSTOL DE UTCUBAMBA,1.0
AMAZONAS,UTCUBAMBA,Neoplasia maligna del ovario,AVASTIN,Antineoplásico,HOSPITAL EL BUEN SAMARITANO,1.0
AMAZONAS,UTCUBAMBA,Neoplasia maligna del ovario,AVASTIN,Antineoplásico,POLICLINICO POLICIAL BAGUA GRANDE,1.0
AMAZONAS,UTCUBAMBA,"Neoplasia maligna del riñón, excepto de la pelvis renal",AVASTIN,Antineoplásico,HOSPITAL EL BUEN SAMARITANO,1.0
AMAZONAS,UTCUBAMBA,"Neoplasia maligna del riñón, excepto de la pelvis renal",AVASTIN,Antineoplásico,POLICLINICO POLICIAL BAGUA GRANDE,1.0
AMAZONAS,UTCUBAMBA,Otras enfermedades por virus citomegálico (Retinitis por CMV),CYMEVENE,Antiinfeccioso,HOSPITAL EL BUEN SAMARITANO,1.0
AMAZONAS,UTCUBAMBA,Otras enfermedades por virus citomegálico (Retinitis por CMV),VALCYTE,Antiinfeccioso,HOSPITAL EL BUEN SAMARITANO,1.0
AMAZONAS,UTCUBAMBA,"Pólipo nasal, no especificado",XOLAIR,Inmunomodulador,HOSPITAL EL BUEN SAMARITANO,1.0
AMAZONAS,UTCUBAMBA,Retinopatía diabética (EMD),VABYSMO,Oftalmológico,HOSPITAL EL BUEN SAMARITANO,1.0
AMAZONAS,UTCUBAMBA,Trasplante de hígado (Estado de),CELLCEPT,Inmunomodulador,HOSPITAL EL BUEN SAMARITANO,1.0
AMAZONAS,UTCUBAMBA,Trasplante de riñón (Estado de),CELLCEPT,Inmunomodulador,HOSPITAL EL BUEN SAMARITANO,1.0
AMAZONAS,UTCUBAMBA,"Tumor maligno de la vejiga urinaria, parte no especificada",TECENTRIQ,Antineoplásico,SANTIAGO APOSTOL DE UTCUBAMBA,1.0
AMAZONAS,UTCUBAMBA,Urticaria idiopática (crónica),XOLAIR,Inmunomodulador,SANTIAGO APOSTOL DE UTCUBAMBA,1.7
ANCASH,AIJA,"Artritis reumatoide, no especificada",ACTEMRA,Inmunomodulador,PUESTO DE SALUD  QUISHUAR,1.5
ANCASH,AIJA,"Artritis reumatoide, no especificada",ACTEMRA,Inmunomodulador,PUESTO DE SALUD SANTA  CRUZ,3.0
